#safe_timer,msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,taskfin_librbd
6.40,4.80,3.20,2.00,1.60,1.60,1.60,1.60
6.40,4.80,3.20,2.00,1.60,1.60,1.60,1.60
6.40,4.80,3.20,2.00,1.60,1.60,1.60,1.60
6.40,4.80,3.20,2.00,1.60,1.60,1.60,1.60
6.40,4.80,3.20,2.00,1.60,1.60,1.60,1.60
6.40,4.80,3.20,2.00,1.60,1.60,1.60,1.60
6.40,4.80,3.20,2.00,1.60,1.60,1.60,1.60
6.40,4.80,3.20,2.00,1.60,1.60,1.60,1.60
6.40,4.80,3.20,2.00,1.60,1.60,1.60,1.60
6.40,4.80,3.20,2.00,1.60,1.60,1.60,1.60
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
6.40,4.80,3.20,1.80,1.60,1.60,1.60,1.60
2.80,2.10,1.40,0.90,0.70,0.70,0.70,0.70
2.80,2.10,1.40,0.90,0.70,0.70,0.70,0.70
2.80,2.10,1.40,0.90,0.70,0.70,0.70,0.70
2.80,2.10,1.40,0.90,0.70,0.70,0.70,0.70
2.80,2.10,1.40,0.90,0.70,0.70,0.70,0.70
2.40,1.80,1.20,0.80,0.60,0.60,0.60,0.60
2.40,1.80,1.20,0.80,0.60,0.60,0.60,0.60
2.40,1.80,1.20,0.80,0.60,0.60,0.60,0.60
2.40,1.80,1.20,0.80,0.60,0.60,0.60,0.60
2.40,1.80,1.20,0.80,0.60,0.60,0.60,0.60
2.40,1.80,1.20,0.80,0.60,0.60,0.60,0.60
2.40,1.80,1.20,0.80,0.60,0.60,0.60,0.60
2.40,1.80,1.20,0.80,0.60,0.60,0.60,0.60
2.40,1.80,1.20,0.80,0.60,0.60,0.60,0.60
2.40,1.80,1.20,0.80,0.60,0.60,0.60,0.60
2.40,1.80,1.20,0.80,0.60,0.60,0.60,0.60
2.40,1.80,1.20,0.80,0.60,0.60,0.60,0.60
2.40,1.80,1.20,0.80,0.60,0.60,0.60,0.60
2.40,1.80,1.20,0.80,0.60,0.60,0.60,0.60
2.40,1.80,1.20,0.80,0.60,0.60,0.60,0.60
2.40,1.80,1.20,0.80,0.60,0.60,0.60,0.60
4.80,3.60,2.40,1.60,1.20,1.20,1.20,1.20
4.80,3.60,2.40,1.60,1.20,1.20,1.20,1.20
4.80,3.60,2.40,1.60,1.20,1.20,1.20,1.20
4.80,3.60,2.40,1.60,1.20,1.20,1.20,1.20
4.80,3.60,2.40,1.60,1.20,1.20,1.20,1.20
4.80,3.60,2.40,1.60,1.20,1.20,1.20,1.20
4.80,3.60,2.40,1.60,1.20,1.20,1.20,1.20
