#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
61.00,50.00,21.00,0.00,0.00,0.00,0.00,0.00
60.80,50.20,21.30,0.00,0.00,0.00,0.00,0.00
62.00,50.30,21.60,0.00,0.00,0.00,0.00,0.00
61.20,50.50,21.60,0.00,0.00,0.00,0.00,0.00
60.30,50.00,22.60,0.00,0.00,0.00,0.00,0.00
60.80,49.20,20.90,0.00,0.00,0.00,0.00,0.00
61.40,50.30,21.90,0.00,0.00,0.00,0.00,0.00
61.20,50.50,21.90,0.00,0.00,0.00,0.00,0.00
61.70,50.00,20.70,0.00,0.00,0.00,0.00,0.00
61.80,50.50,21.90,0.00,0.00,0.00,0.00,0.00
60.00,49.30,21.30,0.00,0.00,0.00,0.00,0.00
61.80,50.80,21.60,0.00,0.00,0.00,0.00,0.00
61.00,50.00,21.00,0.00,0.00,0.00,0.00,0.00
60.10,49.50,21.60,0.00,0.00,0.00,0.00,0.00
62.00,50.70,21.60,0.00,0.00,0.00,0.00,0.00
60.40,49.50,21.20,0.00,0.00,0.00,0.00,0.00
60.30,49.30,22.30,0.00,0.00,0.00,0.00,0.00
61.50,50.20,21.60,0.00,0.00,0.00,0.00,0.00
60.00,49.70,21.30,0.00,0.00,0.00,0.00,0.00
61.20,49.80,21.60,0.00,0.00,0.00,0.00,0.00
61.40,50.30,21.60,0.00,0.00,0.00,0.00,0.00
61.50,50.50,21.60,0.00,0.00,0.00,0.00,0.00
61.70,50.70,21.60,0.00,0.00,0.00,0.00,0.00
61.80,50.50,21.30,0.00,0.00,0.00,0.00,0.00
66.60,53.30,26.70,0.00,0.00,0.00,0.00,0.00
63.50,50.50,22.30,0.00,0.00,0.00,0.00,0.00
64.00,51.00,23.30,0.00,0.00,0.00,0.00,0.00
63.80,51.20,22.90,0.00,0.00,0.00,0.00,0.00
63.40,50.00,23.00,0.00,0.00,0.00,0.00,0.00
65.20,52.20,22.60,0.00,0.00,0.00,0.00,0.00
66.00,51.30,22.60,0.00,0.00,0.00,0.00,0.00
66.80,51.20,21.60,0.00,0.00,0.00,0.00,0.00
72.00,51.00,21.60,0.00,0.00,0.00,0.00,0.00
62.30,49.30,23.00,0.00,0.00,0.00,0.00,0.00
63.50,50.50,22.50,0.00,0.00,0.00,0.00,0.00
64.00,51.00,22.30,0.00,0.00,0.00,0.00,0.00
63.80,49.80,21.60,0.00,0.00,0.00,0.00,0.00
