#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
53.00,41.30,16.00,0.00,0.00,0.00,0.00,0.00
37.50,32.60,12.30,0.00,0.00,0.00,0.00,0.00
43.70,35.70,14.30,0.00,0.00,0.00,0.00,0.00
49.20,40.20,16.30,0.00,0.00,0.00,0.00,0.00
40.00,32.70,13.00,0.00,0.00,0.00,0.00,0.00
46.60,38.20,15.60,0.00,0.00,0.00,0.00,0.00
39.00,32.30,14.40,0.00,0.00,0.00,0.00,0.00
52.10,42.20,17.60,0.00,0.00,0.00,0.00,0.00
52.60,42.00,17.60,0.00,0.00,0.00,0.00,0.00
57.80,47.20,19.60,0.00,0.00,0.00,0.00,0.00
60.00,48.30,21.00,0.00,0.00,0.00,0.00,0.00
47.80,38.90,15.30,0.00,0.00,0.00,0.00,0.00
62.00,50.30,21.60,0.00,0.00,0.00,0.00,0.00
63.20,51.80,21.90,0.00,0.00,0.00,0.00,0.00
58.60,47.70,20.30,0.00,0.00,0.00,0.00,0.00
64.10,51.80,21.90,0.00,0.00,0.00,0.00,0.00
53.40,33.30,13.30,0.00,0.00,0.00,0.00,0.00
42.60,34.90,13.90,0.00,0.00,0.00,0.00,0.00
41.40,34.00,14.30,0.00,0.00,0.00,0.00,0.00
44.60,35.20,14.00,0.00,0.00,0.00,0.00,0.00
43.00,35.30,14.00,0.00,0.00,0.00,0.00,0.00
42.90,35.20,14.30,0.00,0.00,0.00,0.00,0.00
42.60,35.00,15.00,0.00,0.00,0.00,0.00,0.00
43.80,35.20,14.60,0.00,0.00,0.00,0.00,0.00
44.00,36.00,14.30,0.00,0.00,0.00,0.00,0.00
43.80,35.90,14.00,0.00,0.00,0.00,0.00,0.00
43.40,35.00,13.70,0.00,0.00,0.00,0.00,0.00
43.20,35.20,14.60,0.00,0.00,0.00,0.00,0.00
44.00,35.70,14.70,0.00,0.00,0.00,0.00,0.00
43.50,35.90,14.30,0.00,0.00,0.00,0.00,0.00
44.30,35.70,14.00,0.00,0.00,0.00,0.00,0.00
42.90,34.90,15.60,0.00,0.00,0.00,0.00,0.00
43.40,35.70,14.30,0.00,0.00,0.00,0.00,0.00
42.90,35.50,13.90,0.00,0.00,0.00,0.00,0.00
44.00,35.30,14.00,0.00,0.00,0.00,0.00,0.00
43.80,35.50,14.00,0.00,0.00,0.00,0.00,0.00
44.00,35.70,14.30,0.00,0.00,0.00,0.00,0.00
43.70,35.70,14.60,0.00,0.00,0.00,0.00,0.00
43.50,35.90,13.90,0.00,0.00,0.00,0.00,0.00
43.00,35.30,13.70,0.00,0.00,0.00,0.00,0.00
42.20,34.60,15.90,0.00,0.00,0.00,0.00,0.00
44.00,35.70,14.00,0.00,0.00,0.00,0.00,0.00
43.20,35.20,15.00,0.00,0.00,0.00,0.00,0.00
43.00,35.30,13.70,0.00,0.00,0.00,0.00,0.00
43.80,35.90,14.30,0.00,0.00,0.00,0.00,0.00
44.30,35.70,13.70,0.00,0.00,0.00,0.00,0.00
53.40,40.00,13.30,0.00,0.00,0.00,0.00,0.00
68.30,52.30,23.60,0.00,0.00,0.00,0.00,0.00
66.10,50.80,23.60,0.00,0.00,0.00,0.00,0.00
61.30,47.70,20.30,0.00,0.00,0.00,0.00,0.00
58.10,44.50,19.90,0.00,0.00,0.00,0.00,0.00
66.60,51.30,22.00,0.00,0.00,0.00,0.00,0.00
66.10,50.80,22.60,0.00,0.00,0.00,0.00,0.00
65.00,50.00,23.30,0.00,0.00,0.00,0.00,0.00
67.80,51.80,23.20,0.00,0.00,0.00,0.00,0.00
68.00,52.30,23.30,0.00,0.00,0.00,0.00,0.00
68.40,52.50,23.60,0.00,0.00,0.00,0.00,0.00
67.70,52.00,23.00,0.00,0.00,0.00,0.00,0.00
67.70,52.00,23.70,0.00,0.00,0.00,0.00,0.00
60.50,46.50,19.90,0.00,0.00,0.00,0.00,0.00
66.00,50.00,22.00,0.00,0.00,0.00,0.00,0.00
