#io_context_pool,msgr-worker,fio,log,ceph_timer,ms_dispatch,safe_timer,taskfin_librbd
56.20,43.80,12.50,0.00,0.00,0.00,0.00,0.00
74.30,55.00,26.70,0.00,0.00,0.00,0.00,0.00
73.70,54.20,26.30,0.00,0.00,0.00,0.00,0.00
74.30,54.70,26.30,0.00,0.00,0.00,0.00,0.00
73.80,53.80,25.50,0.00,0.00,0.00,0.00,0.00
73.00,53.30,27.00,0.00,0.00,0.00,0.00,0.00
73.40,53.80,25.90,0.00,0.00,0.00,0.00,0.00
74.00,54.30,26.00,0.00,0.00,0.00,0.00,0.00
74.10,54.50,25.90,0.00,0.00,0.00,0.00,0.00
73.70,53.70,26.00,0.00,0.00,0.00,0.00,0.00
74.40,54.50,25.60,0.00,0.00,0.00,0.00,0.00
74.00,54.30,26.40,0.00,0.00,0.00,0.00,0.00
73.00,53.80,25.50,0.00,0.00,0.00,0.00,0.00
73.70,54.30,26.00,0.00,0.00,0.00,0.00,0.00
72.70,53.20,26.90,0.00,0.00,0.00,0.00,0.00
74.00,54.00,26.00,0.00,0.00,0.00,0.00,0.00
73.00,53.50,25.90,0.00,0.00,0.00,0.00,0.00
74.00,54.30,25.60,0.00,0.00,0.00,0.00,0.00
74.40,54.50,26.50,0.00,0.00,0.00,0.00,0.00
74.00,54.30,25.70,0.00,0.00,0.00,0.00,0.00
74.40,54.80,26.50,0.00,0.00,0.00,0.00,0.00
73.40,53.80,25.20,0.00,0.00,0.00,0.00,0.00
73.40,54.00,26.00,0.00,0.00,0.00,0.00,0.00
72.70,53.20,26.90,0.00,0.00,0.00,0.00,0.00
73.40,54.00,26.00,0.00,0.00,0.00,0.00,0.00
73.80,54.50,26.20,0.00,0.00,0.00,0.00,0.00
74.60,54.00,26.70,0.00,0.00,0.00,0.00,0.00
74.40,54.80,25.90,0.00,0.00,0.00,0.00,0.00
74.30,54.30,26.00,0.00,0.00,0.00,0.00,0.00
73.80,54.50,25.90,0.00,0.00,0.00,0.00,0.00
